iter	Passed	Remaining
0	8	4263
1	17	4261
2	26	4363
3	41	5146
4	51	5068
5	60	4972
6	69	4873
7	77	4763
8	85	4681
9	95	4666
10	103	4594
11	111	4540
12	119	4488
13	127	4436
14	136	4422
15	145	4389
16	153	4349
17	161	4311
18	170	4328
19	178	4291
20	187	4273
21	194	4233
22	202	4207
23	211	4184
24	218	4152
25	226	4133
26	234	4109
27	243	4097
28	250	4074
29	258	4048
30	266	4030
31	274	4013
32	282	3999
33	290	3983
34	298	3970
35	306	3953
36	314	3936
37	322	3920
38	330	3904
39	338	3890
40	346	3880
41	355	3871
42	363	3862
43	371	3852
44	380	3848
45	389	3844
46	398	3837
47	406	3825
48	415	3820
49	422	3802
50	430	3788
51	438	3773
52	446	3769
53	454	3757
54	462	3740
55	471	3734
56	479	3722
57	487	3712
58	495	3703
59	503	3693
60	511	3681
61	519	3672
62	528	3665
63	536	3654
64	544	3644
65	551	3629
66	559	3617
67	567	3604
68	574	3591
69	583	3582
70	592	3581
71	600	3570
72	608	3556
73	616	3546
74	623	3533
75	632	3526
76	639	3513
77	647	3505
78	655	3493
79	663	3480
80	670	3467
81	677	3454
82	685	3445
83	694	3437
84	702	3428
85	710	3419
86	718	3408
87	726	3401
88	734	3393
89	742	3384
90	751	3378
91	759	3366
92	766	3355
93	775	3348
94	783	3340
95	790	3328
96	798	3318
97	806	3306
98	814	3299
99	822	3289
100	829	3278
101	838	3270
102	846	3261
103	854	3253
104	862	3245
105	870	3237
106	878	3228
107	887	3220
108	895	3212
109	905	3208
110	912	3198
111	920	3189
112	928	3181
113	936	3171
114	944	3163
115	952	3153
116	961	3146
117	969	3137
118	976	3127
119	984	3117
120	993	3110
121	1001	3101
122	1009	3092
123	1018	3088
124	1026	3079
125	1033	3068
126	1041	3059
127	1049	3050
128	1058	3044
129	1066	3035
130	1074	3026
131	1082	3017
132	1091	3010
133	1098	3001
134	1107	2993
135	1117	2992
136	1127	2988
137	1136	2982
138	1146	2976
139	1153	2965
140	1161	2957
141	1168	2946
142	1176	2937
143	1184	2928
144	1192	2919
145	1200	2911
146	1209	2905
147	1217	2896
148	1225	2886
149	1233	2877
150	1241	2870
151	1249	2861
152	1257	2853
153	1265	2844
154	1273	2835
155	1281	2826
156	1289	2817
157	1297	2809
158	1305	2800
159	1313	2790
160	1321	2781
161	1328	2771
162	1336	2763
163	1344	2754
164	1352	2744
165	1360	2736
166	1367	2727
167	1375	2718
168	1383	2710
169	1392	2702
170	1400	2694
171	1408	2685
172	1416	2677
173	1424	2668
174	1431	2658
175	1439	2650
176	1448	2643
177	1456	2634
178	1464	2626
179	1471	2616
180	1479	2607
181	1488	2600
182	1496	2592
183	1504	2584
184	1512	2576
185	1520	2567
186	1529	2559
187	1538	2552
188	1546	2544
189	1553	2535
190	1561	2526
191	1569	2517
192	1577	2509
193	1589	2506
194	1597	2499
195	1606	2491
196	1614	2483
197	1622	2475
198	1631	2467
199	1638	2458
200	1646	2449
201	1654	2440
202	1663	2434
203	1672	2427
204	1680	2418
205	1688	2409
206	1696	2401
207	1705	2394
208	1712	2385
209	1720	2376
210	1728	2366
211	1736	2358
212	1744	2350
213	1751	2341
214	1759	2332
215	1767	2324
216	1775	2315
217	1784	2308
218	1792	2299
219	1800	2291
220	1809	2284
221	1818	2276
222	1826	2268
223	1833	2259
224	1841	2251
225	1849	2242
226	1858	2234
227	1866	2227
228	1875	2219
229	1883	2210
230	1891	2202
231	1899	2194
232	1907	2186
233	1918	2180
234	1926	2172
235	1934	2164
236	1943	2156
237	1956	2153
238	1964	2145
239	1973	2138
240	1982	2130
241	1991	2122
242	2000	2115
243	2008	2106
244	2015	2098
245	2023	2089
246	2032	2082
247	2040	2073
248	2048	2065
249	2056	2056
250	2064	2048
251	2073	2040
252	2082	2033
253	2091	2025
254	2101	2019
255	2109	2010
256	2117	2001
257	2125	1993
258	2133	1985
259	2141	1976
260	2149	1968
261	2157	1959
262	2165	1951
263	2173	1942
264	2181	1934
265	2189	1925
266	2196	1917
267	2205	1909
268	2213	1900
269	2221	1892
270	2230	1884
271	2238	1876
272	2247	1868
273	2254	1859
274	2262	1851
275	2271	1843
276	2278	1834
277	2286	1826
278	2294	1817
279	2302	1809
280	2310	1800
281	2318	1792
282	2325	1783
283	2333	1774
284	2342	1767
285	2350	1758
286	2358	1750
287	2365	1741
288	2374	1733
289	2383	1725
290	2392	1718
291	2400	1709
292	2408	1701
293	2417	1693
294	2424	1685
295	2433	1676
296	2441	1668
297	2448	1660
298	2456	1651
299	2465	1643
300	2473	1635
301	2483	1628
302	2491	1619
303	2500	1612
304	2508	1603
305	2516	1595
306	2525	1587
307	2533	1579
308	2542	1571
309	2551	1563
310	2558	1555
311	2567	1547
312	2575	1538
313	2584	1530
314	2592	1522
315	2600	1514
316	2608	1505
317	2616	1497
318	2624	1489
319	2632	1480
320	2640	1472
321	2648	1463
322	2655	1455
323	2663	1446
324	2671	1438
325	2678	1429
326	2687	1421
327	2695	1413
328	2703	1405
329	2711	1396
330	2719	1388
331	2727	1380
332	2735	1372
333	2744	1363
334	2752	1355
335	2759	1347
336	2768	1338
337	2775	1330
338	2783	1322
339	2791	1313
340	2800	1305
341	2808	1297
342	2816	1288
343	2824	1280
344	2832	1272
345	2841	1264
346	2848	1256
347	2856	1247
348	2864	1239
349	2872	1230
350	2880	1222
351	2888	1214
352	2896	1206
353	2904	1197
354	2912	1189
355	2920	1181
356	2928	1173
357	2936	1164
358	2945	1156
359	2952	1148
360	2961	1140
361	2969	1131
362	2977	1123
363	2985	1115
364	2994	1107
365	3002	1099
366	3010	1090
367	3018	1082
